,x,y,z,tagId,timestamp
0,2564,-243,0,26383,2018-10-24 18:39:04.114000082
1,2322,-375,0,26457,2018-10-24 18:39:04.163000107
2,2509,373,0,26376,2018-10-24 18:39:04.200000048
3,2644,-194,0,26383,2018-10-24 18:39:04.276999950
4,2323,-411,0,26457,2018-10-24 18:39:04.341000080
5,2468,331,0,26376,2018-10-24 18:39:04.408999920
6,2745,-7,0,26383,2018-10-24 18:39:04.500000000
7,2331,-402,0,26457,2018-10-24 18:39:04.551000118
8,2417,333,0,26376,2018-10-24 18:39:04.588000059
9,2603,-7,0,26383,2018-10-24 18:39:04.704999924
10,2283,-393,0,26457,2018-10-24 18:39:04.795000076
11,2624,412,0,26376,2018-10-24 18:39:04.884999990
12,2624,-109,0,26383,2018-10-24 18:39:04.997999907
13,2279,-500,0,26457,2018-10-24 18:39:05.049000025
14,2700,503,0,26376,2018-10-24 18:39:05.098000050
15,2698,-129,0,26383,2018-10-24 18:39:05.223000050
16,2252,-517,0,26457,2018-10-24 18:39:05.302000046
17,2481,362,0,26376,2018-10-24 18:39:05.388000011
18,2703,-131,0,26383,2018-10-24 18:39:05.517999887
19,2282,-404,0,26457,2018-10-24 18:39:05.565999985
20,2575,422,0,26376,2018-10-24 18:39:05.602999926
21,2552,28,0,26383,2018-10-24 18:39:05.691999912
22,2268,-368,0,26457,2018-10-24 18:39:05.759999990
23,2576,454,0,26376,2018-10-24 18:39:05.822999954
24,2590,-196,0,26383,2018-10-24 18:39:05.941999912
25,2270,-416,0,26457,2018-10-24 18:39:05.992000103
26,2544,395,0,26376,2018-10-24 18:39:06.032999992
27,2585,-167,0,26383,2018-10-24 18:39:06.148999929
28,2288,-444,0,26457,2018-10-24 18:39:06.209000111
29,2662,391,0,26376,2018-10-24 18:39:06.280999899
30,2339,-706,0,26383,2018-10-24 18:39:06.440000057
31,2356,-366,0,26457,2018-10-24 18:39:06.497999907
32,2648,370,0,26376,2018-10-24 18:39:06.542999983
33,2560,-562,0,26383,2018-10-24 18:39:06.651000023
34,2236,-423,0,26457,2018-10-24 18:39:06.710000038
35,2672,365,0,26376,2018-10-24 18:39:06.788000107
36,2555,63,0,26383,2018-10-24 18:39:06.930000067
37,2306,-442,0,26457,2018-10-24 18:39:06.996000051
38,2639,392,0,26376,2018-10-24 18:39:07.049999952
39,2492,-59,0,26383,2018-10-24 18:39:07.135999918
40,2317,-400,0,26457,2018-10-24 18:39:07.190000057
41,2790,319,0,26376,2018-10-24 18:39:07.262000084
42,2387,97,0,26383,2018-10-24 18:39:07.414000034
43,2290,-398,0,26457,2018-10-24 18:39:07.500999928
44,2755,374,0,26376,2018-10-24 18:39:07.539000034
45,2487,-154,0,26383,2018-10-24 18:39:07.605000019
46,2279,-442,0,26457,2018-10-24 18:39:07.651999950
47,2773,294,0,26376,2018-10-24 18:39:07.693000078
48,2502,-21,0,26383,2018-10-24 18:39:07.842000008
49,2312,-386,0,26457,2018-10-24 18:39:07.905999899
50,2820,308,0,26376,2018-10-24 18:39:07.947000027
51,2511,-65,0,26383,2018-10-24 18:39:08.062999964
52,2294,-591,0,26457,2018-10-24 18:39:08.112999916
53,2820,111,0,26376,2018-10-24 18:39:08.151000023
54,2513,-93,0,26383,2018-10-24 18:39:08.204999924
55,2309,-595,0,26457,2018-10-24 18:39:08.280999899
56,2632,279,0,26376,2018-10-24 18:39:08.331000090
57,2461,-118,0,26383,2018-10-24 18:39:08.466000080
58,2318,-501,0,26457,2018-10-24 18:39:08.516000032
59,2769,476,0,26376,2018-10-24 18:39:08.552000046
60,2408,9,0,26383,2018-10-24 18:39:08.667000055
61,2303,-435,0,26457,2018-10-24 18:39:08.717000008
62,2689,532,0,26376,2018-10-24 18:39:08.796999931
63,2444,-131,0,26383,2018-10-24 18:39:08.928999901
64,2315,-431,0,26457,2018-10-24 18:39:08.980999947
65,2859,742,0,26376,2018-10-24 18:39:09.019000053
66,2338,18,0,26383,2018-10-24 18:39:09.132999897
67,2282,-620,0,26457,2018-10-24 18:39:09.183000088
68,2864,752,0,26376,2018-10-24 18:39:09.220999956
69,2043,302,0,26383,2018-10-24 18:39:09.303999901
70,2301,-615,0,26457,2018-10-24 18:39:09.365999937
71,3106,841,0,26376,2018-10-24 18:39:09.436000109
72,2134,66,0,26383,2018-10-24 18:39:09.517999887
73,2350,-400,0,26457,2018-10-24 18:39:09.565000057
74,3075,747,0,26376,2018-10-24 18:39:09.601999998
75,2340,-210,0,26383,2018-10-24 18:39:09.651999950
76,2338,-490,0,26457,2018-10-24 18:39:09.700999975
77,3134,546,0,26376,2018-10-24 18:39:09.776999950
78,2287,-96,0,26383,2018-10-24 18:39:09.904000044
79,2334,-702,0,26457,2018-10-24 18:39:09.951999903
80,3122,608,0,26376,2018-10-24 18:39:09.989000082
81,2407,-15,0,26383,2018-10-24 18:39:10.105000019
82,2346,-591,0,26457,2018-10-24 18:39:10.154000044
83,3048,638,0,26376,2018-10-24 18:39:10.194999933
84,2494,83,0,26383,2018-10-24 18:39:10.276000023
85,2293,-558,0,26457,2018-10-24 18:39:10.335000038
86,2824,689,0,26376,2018-10-24 18:39:10.411999941
87,2638,-162,0,26383,2018-10-24 18:39:10.483999968
88,2267,-648,0,26457,2018-10-24 18:39:10.540999889
89,2960,648,0,26376,2018-10-24 18:39:10.592999935
90,2578,-200,0,26383,2018-10-24 18:39:10.713000059
91,2263,-576,0,26457,2018-10-24 18:39:10.783999920
92,2731,391,0,26376,2018-10-24 18:39:10.835999966
93,2646,-189,0,26383,2018-10-24 18:39:10.970000029
94,2335,-643,0,26457,2018-10-24 18:39:11.019000053
95,2641,416,0,26376,2018-10-24 18:39:11.055999994
96,2730,-170,0,26383,2018-10-24 18:39:11.167999983
97,2317,-509,0,26457,2018-10-24 18:39:11.217000008
98,2611,421,0,26376,2018-10-24 18:39:11.296000004
99,2829,-260,0,26383,2018-10-24 18:39:11.438999891
100,2364,-479,0,26457,2018-10-24 18:39:11.493999958
101,2591,266,0,26376,2018-10-24 18:39:11.532999992
102,2946,-186,0,26383,2018-10-24 18:39:11.648999929
103,2318,-460,0,26457,2018-10-24 18:39:11.698999882
104,2446,309,0,26376,2018-10-24 18:39:11.747999907
105,2910,-251,0,26383,2018-10-24 18:39:11.821000099
106,2134,-283,0,26457,2018-10-24 18:39:11.881999969
107,2608,325,0,26376,2018-10-24 18:39:11.921000004
108,2945,-294,0,26383,2018-10-24 18:39:12.032999992
109,2280,-669,0,26457,2018-10-24 18:39:12.084000111
110,1976,1049,0,26376,2018-10-24 18:39:12.121000051
111,2945,-309,0,26383,2018-10-24 18:39:12.246999979
112,2332,-512,0,26457,2018-10-24 18:39:12.321000099
113,2124,535,0,26376,2018-10-24 18:39:12.403000116
114,2928,-293,0,26383,2018-10-24 18:39:12.513000011
115,2299,-726,0,26457,2018-10-24 18:39:12.563999891
116,2316,709,0,26376,2018-10-24 18:39:12.602999926
117,2861,-255,0,26383,2018-10-24 18:39:12.716000080
118,2301,-548,0,26457,2018-10-24 18:39:12.795000076
119,2120,881,0,26376,2018-10-24 18:39:12.832999945
120,2798,-54,0,26383,2018-10-24 18:39:12.895999908
121,2299,-583,0,26457,2018-10-24 18:39:12.944000006
122,2018,1045,0,26376,2018-10-24 18:39:12.982000113
123,2741,51,0,26383,2018-10-24 18:39:13.096999884
124,2354,-464,0,26457,2018-10-24 18:39:13.148000002
125,1670,1751,0,26376,2018-10-24 18:39:13.184999943
126,2787,258,0,26383,2018-10-24 18:39:13.233999968
127,2312,-529,0,26457,2018-10-24 18:39:13.306999922
128,1548,1743,0,26376,2018-10-24 18:39:13.361000061
129,2796,553,0,26383,2018-10-24 18:39:13.500999928
130,2323,-591,0,26457,2018-10-24 18:39:13.549999952
131,1518,1782,0,26376,2018-10-24 18:39:13.588999987
132,2543,698,0,26383,2018-10-24 18:39:13.710000038
133,2296,-456,0,26457,2018-10-24 18:39:13.783999920
134,1391,1678,0,26376,2018-10-24 18:39:13.834000111
135,1868,1508,0,26383,2018-10-24 18:39:13.960999966
136,2298,-543,0,26457,2018-10-24 18:39:14.012000084
137,1281,1801,0,26376,2018-10-24 18:39:14.051000118
138,2144,1150,0,26383,2018-10-24 18:39:14.167999983
139,2286,-528,0,26457,2018-10-24 18:39:14.217999935
140,1259,1926,0,26376,2018-10-24 18:39:14.282999992
141,2024,1344,0,26383,2018-10-24 18:39:14.438999891
142,2304,-486,0,26457,2018-10-24 18:39:14.486999989
143,1403,2220,0,26376,2018-10-24 18:39:14.526999950
144,1749,1918,0,26383,2018-10-24 18:39:14.642999887
145,2320,-482,0,26457,2018-10-24 18:39:14.694999933
146,1288,2596,0,26376,2018-10-24 18:39:14.732000113
147,1754,1862,0,26383,2018-10-24 18:39:14.813999891
148,2319,-518,0,26457,2018-10-24 18:39:14.878999949
149,962,2379,0,26376,2018-10-24 18:39:14.917999983
150,1471,1764,0,26383,2018-10-24 18:39:15.026000023
151,2331,-473,0,26457,2018-10-24 18:39:15.075999975
152,1111,2468,0,26376,2018-10-24 18:39:15.115000010
153,1376,1849,0,26383,2018-10-24 18:39:15.232000113
154,2334,-435,0,26457,2018-10-24 18:39:15.303999901
155,851,2517,0,26376,2018-10-24 18:39:15.342999935
156,1343,2076,0,26383,2018-10-24 18:39:15.417999983
157,2297,-405,0,26457,2018-10-24 18:39:15.464999914
158,739,2550,0,26376,2018-10-24 18:39:15.500000000
159,1081,2118,0,26383,2018-10-24 18:39:15.619999886
160,2317,-491,0,26457,2018-10-24 18:39:15.667999983
161,-240,2341,0,26376,2018-10-24 18:39:15.713999987
162,784,2221,0,26383,2018-10-24 18:39:15.855000019
163,2317,-452,0,26457,2018-10-24 18:39:15.918999910
164,-240,2341,0,26376,2018-10-24 18:39:15.956000090
165,736,2367,0,26383,2018-10-24 18:39:16.078999996
166,2332,-493,0,26457,2018-10-24 18:39:16.128999949
167,701,2857,0,26376,2018-10-24 18:39:16.167000055
168,905,2538,0,26383,2018-10-24 18:39:16.223000050
169,2331,-464,0,26457,2018-10-24 18:39:16.302000046
170,117,2773,0,26376,2018-10-24 18:39:16.369999886
171,1169,2428,0,26383,2018-10-24 18:39:16.500999928
172,2319,-477,0,26457,2018-10-24 18:39:16.549999952
173,-106,2600,0,26376,2018-10-24 18:39:16.588999987
174,1635,2920,0,26383,2018-10-24 18:39:16.700000048
175,2306,-504,0,26457,2018-10-24 18:39:16.780999899
176,46,3047,0,26376,2018-10-24 18:39:16.832000017
177,1446,2280,0,26383,2018-10-24 18:39:16.953999996
178,2268,-451,0,26457,2018-10-24 18:39:17.002000093
179,-656,2702,0,26376,2018-10-24 18:39:17.038000107
180,1818,2383,0,26383,2018-10-24 18:39:17.154000044
181,2309,-456,0,26457,2018-10-24 18:39:17.201999903
182,-484,2814,0,26376,2018-10-24 18:39:17.257999896
183,1919,3013,0,26383,2018-10-24 18:39:17.335999966
184,2262,-411,0,26457,2018-10-24 18:39:17.421999931
185,247,2884,0,26376,2018-10-24 18:39:17.467000008
186,1739,2786,0,26383,2018-10-24 18:39:17.540999889
187,2336,-430,0,26457,2018-10-24 18:39:17.594000101
188,201,2777,0,26376,2018-10-24 18:39:17.632999897
189,2228,3272,0,26383,2018-10-24 18:39:17.759000063
190,2337,-417,0,26457,2018-10-24 18:39:17.835999966
191,663,3106,0,26376,2018-10-24 18:39:17.888000011
192,1791,2884,0,26383,2018-10-24 18:39:18.009999990
193,2336,-460,0,26457,2018-10-24 18:39:18.062999964
194,497,3171,0,26376,2018-10-24 18:39:18.102999926
195,934,2899,0,26383,2018-10-24 18:39:18.232000113
196,2302,-450,0,26457,2018-10-24 18:39:18.306999922
197,698,3059,0,26376,2018-10-24 18:39:18.346999884
198,526,2711,0,26383,2018-10-24 18:39:18.490000010
199,2304,-465,0,26457,2018-10-24 18:39:18.538000107
200,608,2785,0,26376,2018-10-24 18:39:18.581000090
201,1247,2692,0,26383,2018-10-24 18:39:18.631000042
202,2317,-447,0,26457,2018-10-24 18:39:18.678999901
203,526,2612,0,26376,2018-10-24 18:39:18.717000008
204,1315,2612,0,26383,2018-10-24 18:39:18.857000113
205,2337,-417,0,26457,2018-10-24 18:39:18.920000076
206,582,2492,0,26376,2018-10-24 18:39:18.960999966
207,1177,2840,0,26383,2018-10-24 18:39:19.078999996
208,2297,-405,0,26457,2018-10-24 18:39:19.131000042
209,655,2571,0,26376,2018-10-24 18:39:19.171000004
210,915,2461,0,26383,2018-10-24 18:39:19.217999935
211,2325,-429,0,26457,2018-10-24 18:39:19.295000076
212,157,2819,0,26376,2018-10-24 18:39:19.345999956
213,1421,2580,0,26383,2018-10-24 18:39:19.483000040
214,2304,-457,0,26457,2018-10-24 18:39:19.532999992
215,81,2625,0,26376,2018-10-24 18:39:19.569999933
216,291,2361,0,26383,2018-10-24 18:39:19.690000057
217,2316,-444,0,26457,2018-10-24 18:39:19.743000031
218,539,2802,0,26376,2018-10-24 18:39:19.811000109
219,416,2456,0,26383,2018-10-24 18:39:19.940999985
220,2318,-468,0,26457,2018-10-24 18:39:19.990000010
221,-99,2425,0,26376,2018-10-24 18:39:20.026999950
222,1604,2765,0,26383,2018-10-24 18:39:20.147000074
223,2300,-375,0,26457,2018-10-24 18:39:20.198999882
224,-430,2500,0,26376,2018-10-24 18:39:20.236999989
225,623,2433,0,26383,2018-10-24 18:39:20.318000078
226,2331,-445,0,26457,2018-10-24 18:39:20.381000042
227,19,2729,0,26376,2018-10-24 18:39:20.450000048
228,696,2471,0,26383,2018-10-24 18:39:20.536000013
229,2303,-428,0,26457,2018-10-24 18:39:20.594000101
230,-50,2609,0,26376,2018-10-24 18:39:20.644999981
231,532,2565,0,26383,2018-10-24 18:39:20.785000086
232,2334,-472,0,26457,2018-10-24 18:39:20.884000063
233,-62,2517,0,26376,2018-10-24 18:39:20.944000006
234,953,2641,0,26383,2018-10-24 18:39:21.028000116
235,2270,-470,0,26457,2018-10-24 18:39:21.095999956
236,45,2559,0,26376,2018-10-24 18:39:21.150000095
237,847,2546,0,26383,2018-10-24 18:39:21.295000076
238,2262,-415,0,26457,2018-10-24 18:39:21.423000097
239,72,2571,0,26376,2018-10-24 18:39:21.513999938
240,541,2472,0,26383,2018-10-24 18:39:21.622999907
241,2304,-411,0,26457,2018-10-24 18:39:21.684999943
242,112,2584,0,26376,2018-10-24 18:39:21.747999907
243,513,2458,0,26383,2018-10-24 18:39:21.914000034
244,2355,-396,0,26457,2018-10-24 18:39:22.019999981
245,182,2658,0,26376,2018-10-24 18:39:22.078000069
246,735,2606,0,26383,2018-10-24 18:39:22.209000111
247,2330,-383,0,26457,2018-10-24 18:39:22.276000023
248,174,2637,0,26376,2018-10-24 18:39:22.381000042
249,450,2470,0,26383,2018-10-24 18:39:22.494999886
250,2334,-472,0,26457,2018-10-24 18:39:22.552000046
251,173,2624,0,26376,2018-10-24 18:39:22.601999998
252,493,2505,0,26383,2018-10-24 18:39:22.690000057
253,2310,-441,0,26457,2018-10-24 18:39:22.782000065
254,225,2605,0,26376,2018-10-24 18:39:22.861000061
255,661,2597,0,26383,2018-10-24 18:39:22.951999903
256,2348,-484,0,26457,2018-10-24 18:39:23.003000021
257,85,2786,0,26376,2018-10-24 18:39:23.052000046
258,469,2500,0,26383,2018-10-24 18:39:23.180999994
259,2362,-402,0,26457,2018-10-24 18:39:23.244999886
260,280,2774,0,26376,2018-10-24 18:39:23.325999975
261,497,2462,0,26383,2018-10-24 18:39:23.440999985
262,2362,-402,0,26457,2018-10-24 18:39:23.492000103
263,152,2725,0,26376,2018-10-24 18:39:23.543999910
264,532,2456,0,26383,2018-10-24 18:39:23.644999981
265,2352,-401,0,26457,2018-10-24 18:39:23.697000027
266,55,2661,0,26376,2018-10-24 18:39:23.736999989
267,535,2418,0,26383,2018-10-24 18:39:23.878000021
268,2287,-374,0,26457,2018-10-24 18:39:23.948999882
269,34,2616,0,26376,2018-10-24 18:39:23.984999895
270,508,2438,0,26383,2018-10-24 18:39:24.108000040
271,2302,-386,0,26457,2018-10-24 18:39:24.160000086
272,-48,2577,0,26376,2018-10-24 18:39:24.198999882
273,753,2523,0,26383,2018-10-24 18:39:24.247999907
274,2310,-377,0,26457,2018-10-24 18:39:24.322000027
275,-53,2514,0,26376,2018-10-24 18:39:24.382999897
276,667,2460,0,26383,2018-10-24 18:39:24.506000042
277,2286,-412,0,26457,2018-10-24 18:39:24.559000015
278,-113,2494,0,26376,2018-10-24 18:39:24.607000113
279,962,2583,0,26383,2018-10-24 18:39:24.721999884
280,2312,-447,0,26457,2018-10-24 18:39:24.796999931
281,-392,2254,0,26376,2018-10-24 18:39:24.848999977
282,446,2406,0,26383,2018-10-24 18:39:24.976999998
283,2312,-447,0,26457,2018-10-24 18:39:25.026999950
284,-111,2491,0,26376,2018-10-24 18:39:25.065000057
285,483,2457,0,26383,2018-10-24 18:39:25.184000015
286,2316,-399,0,26457,2018-10-24 18:39:25.232000113
287,-346,2350,0,26376,2018-10-24 18:39:25.308000088
288,534,2501,0,26383,2018-10-24 18:39:25.453000069
289,2290,-398,0,26457,2018-10-24 18:39:25.503000020
290,-387,2316,0,26376,2018-10-24 18:39:25.540999889
291,580,2431,0,26383,2018-10-24 18:39:25.663000107
292,2322,-365,0,26457,2018-10-24 18:39:25.713000059
293,-173,2510,0,26376,2018-10-24 18:39:25.766000032
294,547,2491,0,26383,2018-10-24 18:39:25.921000004
295,2293,-443,0,26457,2018-10-24 18:39:25.970000029
296,629,3058,0,26376,2018-10-24 18:39:26.009999990
297,448,2431,0,26383,2018-10-24 18:39:26.128000020
298,2306,-460,0,26457,2018-10-24 18:39:26.177999973
299,558,2680,0,26376,2018-10-24 18:39:26.216000080
300,471,2452,0,26383,2018-10-24 18:39:26.309999943
301,2235,-409,0,26457,2018-10-24 18:39:26.378000021
302,340,2604,0,26376,2018-10-24 18:39:26.438999891
303,914,2593,0,26383,2018-10-24 18:39:26.516999960
304,2348,-455,0,26457,2018-10-24 18:39:26.566999912
305,698,2778,0,26376,2018-10-24 18:39:26.607000113
306,609,2609,0,26383,2018-10-24 18:39:26.727999926
307,2338,-475,0,26457,2018-10-24 18:39:26.812000036
308,644,2738,0,26376,2018-10-24 18:39:26.849999905
309,638,2507,0,26383,2018-10-24 18:39:26.979000092
310,2311,-471,0,26457,2018-10-24 18:39:27.029000044
311,658,2790,0,26376,2018-10-24 18:39:27.065999985
312,383,2473,0,26383,2018-10-24 18:39:27.118000031
313,2310,-458,0,26457,2018-10-24 18:39:27.167000055
314,674,2693,0,26376,2018-10-24 18:39:27.204999924
315,854,2606,0,26383,2018-10-24 18:39:27.351999998
316,2325,-432,0,26457,2018-10-24 18:39:27.421999931
317,616,2855,0,26376,2018-10-24 18:39:27.460999966
318,990,2610,0,26383,2018-10-24 18:39:27.579999924
319,2300,-421,0,26457,2018-10-24 18:39:27.631000042
320,529,2781,0,26376,2018-10-24 18:39:27.670000076
321,737,2561,0,26383,2018-10-24 18:39:27.717999935
322,2288,-439,0,26457,2018-10-24 18:39:27.796999931
323,845,2724,0,26376,2018-10-24 18:39:27.846999884
324,841,2599,0,26383,2018-10-24 18:39:27.967000008
325,2339,-465,0,26457,2018-10-24 18:39:28.017999887
326,327,2593,0,26376,2018-10-24 18:39:28.059999943
327,380,2656,0,26383,2018-10-24 18:39:28.178999901
328,2325,-454,0,26457,2018-10-24 18:39:28.230999947
329,475,2509,0,26376,2018-10-24 18:39:28.299999952
330,803,2566,0,26383,2018-10-24 18:39:28.447999954
331,2289,-423,0,26457,2018-10-24 18:39:28.506000042
332,446,2508,0,26376,2018-10-24 18:39:28.555999994
333,141,2415,0,26383,2018-10-24 18:39:28.677999973
334,2304,-465,0,26457,2018-10-24 18:39:28.736999989
335,503,2609,0,26376,2018-10-24 18:39:28.815999985
336,665,2484,0,26383,2018-10-24 18:39:28.930999994
337,2340,-449,0,26457,2018-10-24 18:39:28.990999937
338,261,2426,0,26376,2018-10-24 18:39:29.040999889
339,564,2458,0,26383,2018-10-24 18:39:29.157999992
340,2310,-422,0,26457,2018-10-24 18:39:29.213000059
341,674,2797,0,26376,2018-10-24 18:39:29.253999949
342,278,2385,0,26383,2018-10-24 18:39:29.417999983
343,2417,-466,0,26457,2018-10-24 18:39:29.487999916
344,322,2573,0,26376,2018-10-24 18:39:29.529999970
345,303,2647,0,26383,2018-10-24 18:39:29.631999969
346,2346,-408,0,26457,2018-10-24 18:39:29.681999922
347,284,2625,0,26376,2018-10-24 18:39:29.720999956
348,303,2647,0,26383,2018-10-24 18:39:29.868000031
349,2316,-442,0,26457,2018-10-24 18:39:29.931999922
350,732,2734,0,26376,2018-10-24 18:39:29.969000101
351,440,2465,0,26383,2018-10-24 18:39:30.082999945
